title,authors,num_authors,abstract,abstract_length,year,journal_ref,venue,reference_count,influential_citations,citations,citations_per_year,age_years,category,category_code,link,pdf_url,canonical_link,arxiv_id
Exploring the Decision Forest: An Empirical Investigation of Occam's Razor in Decision Tree Induction,"P. M. Murphy, M. J. Pazzani",2,"We report on a series of experiments in which all decision trees consistent with the training data are constructed. These experiments were run to gain an understanding of the properties of the set of consistent decision trees and the factors that affect the accuracy of individual trees. In particular, we investigated the relationship between the size of a decision tree consistent with some training data and the accuracy of the tree on test data. The experiments were performed on a massively parallel Maspar computer. The results of the experiments on several artificial and two real world problems indicate that, for many of the problems investigated, smaller consistent decision trees are on average less accurate than the average accuracy of slightly larger trees.",771,1994,"Journal of Artificial Intelligence Research, Vol 1, (1994),
  257-275",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9403101v1,https://arxiv.org/pdf/cs/9403101v1.pdf,http://arxiv.org/abs/cs/9403101v1,cs/9403101v1
A Semantics and Complete Algorithm for Subsumption in the CLASSIC Description Logic,"A. Borgida, P. F. Patel-Schneider",2,"This paper analyzes the correctness of the subsumption algorithm used in CLASSIC, a description logic-based knowledge representation system that is being used in practical applications. In order to deal efficiently with individuals in CLASSIC descriptions, the developers have had to use an algorithm that is incomplete with respect to the standard, model-theoretic semantics for description logics. We provide a variant semantics for descriptions with respect to which the current implementation is complete, and which can be independently motivated. The soundness and completeness of the polynomial-time subsumption algorithm is established using description graphs, which are an abstracted version of the implementation structures used in CLASSIC, and are of independent interest.",783,1994,"Journal of Artificial Intelligence Research, Vol 1, (1994),
  277-308",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9406101v1,https://arxiv.org/pdf/cs/9406101v1.pdf,http://arxiv.org/abs/cs/9406101v1,cs/9406101v1
Applying GSAT to Non-Clausal Formulas,R. Sebastiani,1,"In this paper we describe how to modify GSAT so that it can be applied to non-clausal formulas. The idea is to use a particular ``score'' function which gives the number of clauses of the CNF conversion of a formula which are false under a given truth assignment. Its value is computed in linear time, without constructing the CNF conversion itself. The proposed methodology applies to most of the variants of GSAT proposed so far.",431,1994,"Journal of Artificial Intelligence Research, Vol 1, (1994),
  309-314",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9406102v1,https://arxiv.org/pdf/cs/9406102v1.pdf,http://arxiv.org/abs/cs/9406102v1,cs/9406102v1
Random Worlds and Maximum Entropy,"A. J. Grove, J. Y. Halpern, D. Koller",3,"Given a knowledge base KB containing first-order and statistical facts, we consider a principled method, called the random-worlds method, for computing a degree of belief that some formula Phi holds given KB. If we are reasoning about a world or system consisting of N individuals, then we can consider all possible worlds, or first-order models, with domain {1,...,N} that satisfy KB, and compute the fraction of them in which Phi is true. We define the degree of belief to be the asymptotic value of this fraction as N grows large. We show that when the vocabulary underlying Phi and KB uses constants and unary predicates only, we can naturally associate an entropy with each world. As N grows larger, there are many more worlds with higher entropy. Therefore, we can use a maximum-entropy computation to compute the degree of belief. This result is in a similar spirit to previous work in physics and artificial intelligence, but is far more general. Of equal interest to the result itself are the limitations on its scope. Most importantly, the restriction to unary predicates seems necessary. Although the random-worlds method makes sense in general, the connection to maximum entropy seems to disappear in the non-unary case. These observations suggest unexpected limitations to the applicability of maximum-entropy methods.",1331,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994), 33-88",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9408101v1,https://arxiv.org/pdf/cs/9408101v1.pdf,http://arxiv.org/abs/cs/9408101v1,cs/9408101v1
Pattern Matching and Discourse Processing in Information Extraction from Japanese Text,"T. Kitani, Y. Eriguchi, M. Hara",3,"Information extraction is the task of automatically picking up information of interest from an unconstrained text. Information of interest is usually extracted in two steps. First, sentence level processing locates relevant pieces of information scattered throughout the text; second, discourse processing merges coreferential information to generate the output. In the first step, pieces of information are locally identified without recognizing any relationships among them. A key word search or simple pattern search can achieve this purpose. The second step requires deeper knowledge in order to understand relationships among separately identified pieces of information. Previous information extraction systems focused on the first step, partly because they were not required to link up each piece of information with other pieces. To link the extracted pieces of information and map them onto a structured output format, complex discourse processing is essential. This paper reports on a Japanese information extraction system that merges information using a pattern matcher and discourse processor. Evaluation results show a high level of system performance which approaches human performance.",1200,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994), 89-110",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9408102v1,https://arxiv.org/pdf/cs/9408102v1.pdf,http://arxiv.org/abs/cs/9408102v1,cs/9408102v1
A System for Induction of Oblique Decision Trees,"S. K. Murthy, S. Kasif, S. Salzberg",3,"This article describes a new system for induction of oblique decision trees. This system, OC1, combines deterministic hill-climbing with two forms of randomization to find a good oblique split (in the form of a hyperplane) at each node of a decision tree. Oblique decision tree methods are tuned especially for domains in which the attributes are numeric, although they can be adapted to symbolic or mixed symbolic/numeric attributes. We present extensive empirical studies, using both real and artificial data, that analyze OC1's ability to construct oblique trees that are smaller and more accurate than their axis-parallel counterparts. We also examine the benefits of randomization for the construction of oblique decision trees.",733,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994), 1-32",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9408103v1,https://arxiv.org/pdf/cs/9408103v1.pdf,http://arxiv.org/abs/cs/9408103v1,cs/9408103v1
On Planning while Learning,"S. Safra, M. Tennenholtz",2,"This paper introduces a framework for Planning while Learning where an agent is given a goal to achieve in an environment whose behavior is only partially known to the agent. We discuss the tractability of various plan-design processes. We show that for a large natural class of Planning while Learning systems, a plan can be presented and verified in a reasonable time. However, coming up algorithmically with a plan, even for simple classes of systems is apparently intractable. We emphasize the role of off-line plan-design processes, and show that, in most natural cases, the verification (projection) part can be carried out in an efficient algorithmic manner.",665,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994),
  111-129",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9409101v1,https://arxiv.org/pdf/cs/9409101v1.pdf,http://arxiv.org/abs/cs/9409101v1,cs/9409101v1
Wrap-Up: a Trainable Discourse Module for Information Extraction,"S. Soderland, Lehnert. W",2,"The vast amounts of on-line text now available have led to renewed interest in information extraction (IE) systems that analyze unrestricted text, producing a structured representation of selected information from the text. This paper presents a novel approach that uses machine learning to acquire knowledge for some of the higher level IE processing. Wrap-Up is a trainable IE discourse component that makes intersentential inferences and identifies logical relations among information extracted from the text. Previous corpus-based approaches were limited to lower level processing such as part-of-speech tagging, lexical disambiguation, and dictionary construction. Wrap-Up is fully trainable, and not only automatically decides what classifiers are needed, but even derives the feature set for each classifier automatically. Performance equals that of a partially trainable discourse module requiring manual customization for each domain.",943,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994),
  131-158",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9412101v1,https://arxiv.org/pdf/cs/9412101v1.pdf,http://arxiv.org/abs/cs/9412101v1,cs/9412101v1
Operations for Learning with Graphical Models,W. L. Buntine,1,"This paper is a multidisciplinary review of empirical, statistical learning from a graphical model perspective. Well-known examples of graphical models include Bayesian networks, directed graphs representing a Markov chain, and undirected networks representing a Markov field. These graphical models are extended to model data analysis and empirical learning using the notation of plates. Graphical operations for simplifying and manipulating a problem are provided including decomposition, differentiation, and the manipulation of probability models from the exponential family. Two standard algorithm schemas for learning are reviewed in a graphical framework: Gibbs sampling and the expectation maximization algorithm. Using these operations and schemas, some popular algorithms can be synthesized from their graphical specification. This includes versions of linear regression, techniques for feed-forward networks, and learning Gaussian and discrete Bayesian networks from data. The paper concludes by sketching some implications for data analysis and summarizing how some popular algorithms fall within the framework presented. The main original contributions here are the decomposition techniques and the demonstration that graphical models provide a framework for understanding and developing complex learning algorithms.",1329,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994),
  159-225",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9412102v1,https://arxiv.org/pdf/cs/9412102v1.pdf,http://arxiv.org/abs/cs/9412102v1,cs/9412102v1
Total-Order and Partial-Order Planning: A Comparative Analysis,"S. Minton, J. Bresina, M. Drummond",3,"For many years, the intuitions underlying partial-order planning were largely taken for granted. Only in the past few years has there been renewed interest in the fundamental principles underlying this paradigm. In this paper, we present a rigorous comparative analysis of partial-order and total-order planning by focusing on two specific planners that can be directly compared. We show that there are some subtle assumptions that underly the wide-spread intuitions regarding the supposed efficiency of partial-order planning. For instance, the superiority of partial-order planning can depend critically upon the search strategy and the structure of the search space. Understanding the underlying assumptions is crucial for constructing efficient planners.",758,1994,"Journal of Artificial Intelligence Research, Vol 2, (1994),
  227-262",arXiv Artificial Intelligence,0,0,0,0,31.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9412103v1,https://arxiv.org/pdf/cs/9412103v1.pdf,http://arxiv.org/abs/cs/9412103v1,cs/9412103v1
Solving Multiclass Learning Problems via Error-Correcting Output Codes,"T. G. Dietterich, G. Bakiri",2,"Multiclass learning problems involve finding a definition for an unknown function f(x) whose range is a discrete set containing k &gt 2 values (i.e., k ``classes''). The definition is acquired by studying collections of training examples of the form [x_i, f (x_i)]. Existing approaches to multiclass learning problems include direct application of multiclass algorithms such as the decision-tree algorithms C4.5 and CART, application of binary concept learning algorithms to learn individual binary functions for each of the k classes, and application of binary concept learning algorithms with distributed output representations. This paper compares these three approaches to a new technique in which error-correcting codes are employed as a distributed output representation. We show that these output representations improve the generalization performance of both C4.5 and backpropagation on a wide range of multiclass learning tasks. We also demonstrate that this approach is robust with respect to changes in the size of the training sample, the assignment of distributed representations to particular classes, and the application of overfitting avoidance techniques such as decision-tree pruning. Finally, we show that---like the other methods---the error-correcting code technique can provide reliable class probability estimates. Taken together, these results demonstrate that error-correcting output codes provide a general-purpose method for improving the performance of inductive learning programs on multiclass problems.",1532,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  263-286",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9501101v1,https://arxiv.org/pdf/cs/9501101v1.pdf,http://arxiv.org/abs/cs/9501101v1,cs/9501101v1
A Domain-Independent Algorithm for Plan Adaptation,"S. Hanks, D. S. Weld",2,"The paradigms of transformational planning, case-based planning, and plan debugging all involve a process known as plan adaptation - modifying or repairing an old plan so it solves a new problem. In this paper we provide a domain-independent algorithm for plan adaptation, demonstrate that it is sound, complete, and systematic, and compare it to other adaptation algorithms in the literature. Our approach is based on a view of planning as searching a graph of partial plans. Generative planning starts at the graph's root and moves from node to node using plan-refinement operators. In planning by adaptation, a library plan - an arbitrary node in the plan graph - is the starting point for the search, and the plan-adaptation algorithm can apply both the same refinement operators available to a generative planner and can also retract constraints and steps from the plan. Our algorithm's completeness ensures that the adaptation algorithm will eventually search the entire graph and its systematicity ensures that it will do so without redundantly searching any parts of the graph.",1085,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  319-360",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9501102v1,https://arxiv.org/pdf/cs/9501102v1.pdf,http://arxiv.org/abs/cs/9501102v1,cs/9501102v1
Truncating Temporal Differences: On the Efficient Implementation of TD(lambda) for Reinforcement Learning,P. Cichosz,1,"Temporal difference (TD) methods constitute a class of methods for learning predictions in multi-step prediction problems, parameterized by a recency factor lambda. Currently the most important application of these methods is to temporal credit assignment in reinforcement learning. Well known reinforcement learning algorithms, such as AHC or Q-learning, may be viewed as instances of TD learning. This paper examines the issues of the efficient and general implementation of TD(lambda) for arbitrary lambda, for use with reinforcement learning algorithms optimizing the discounted sum of rewards. The traditional approach, based on eligibility traces, is argued to suffer from both inefficiency and lack of generality. The TTD (Truncated Temporal Differences) procedure is proposed as an alternative, that indeed only approximates TD(lambda), but requires very little computation per action and can be used with arbitrary function representation methods. The idea from which it is derived is fairly simple and not new, but probably unexplored so far. Encouraging experimental results are presented, suggesting that using lambda &gt 0 with the TTD procedure allows one to obtain a significant learning speedup at essentially the same cost as usual TD(0) learning.",1264,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  287-318",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9501103v1,https://arxiv.org/pdf/cs/9501103v1.pdf,http://arxiv.org/abs/cs/9501103v1,cs/9501103v1
Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm,P. D. Turney,1,"This paper introduces ICET, a new algorithm for cost-sensitive classification. ICET uses a genetic algorithm to evolve a population of biases for a decision tree induction algorithm. The fitness function of the genetic algorithm is the average cost of classification when using the decision tree, including both the costs of tests (features, measurements) and the costs of classification errors. ICET is compared here with three other algorithms for cost-sensitive classification - EG2, CS-ID3, and IDX - and also with C4.5, which classifies without regard to cost. The five algorithms are evaluated empirically on five real-world medical datasets. Three sets of experiments are performed. The first set examines the baseline performance of the five algorithms on the five datasets and establishes that ICET performs significantly better than its competitors. The second set tests the robustness of ICET under a variety of conditions and shows that ICET maintains its advantage. The third set looks at ICET's search in bias space and discovers a way to improve the search.",1072,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  369-409",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9503102v1,https://arxiv.org/pdf/cs/9503102v1.pdf,http://arxiv.org/abs/cs/9503102v1,cs/9503102v1
Rerepresenting and Restructuring Domain Theories: A Constructive Induction Approach,"S. K. Donoho, L. A. Rendell",2,"Theory revision integrates inductive learning and background knowledge by combining training examples with a coarse domain theory to produce a more accurate theory. There are two challenges that theory revision and other theory-guided systems face. First, a representation language appropriate for the initial theory may be inappropriate for an improved theory. While the original representation may concisely express the initial theory, a more accurate theory forced to use that same representation may be bulky, cumbersome, and difficult to reach. Second, a theory structure suitable for a coarse domain theory may be insufficient for a fine-tuned theory. Systems that produce only small, local changes to a theory have limited value for accomplishing complex structural alterations that may be required. Consequently, advanced theory-guided learning systems require flexible representation and flexible structure. An analysis of various theory revision systems and theory-guided learning systems reveals specific strengths and weaknesses in terms of these two desired properties. Designed to capture the underlying qualities of each system, a new system uses theory-guided constructive induction. Experiments in three domains show improvement over previous theory-guided systems. This leads to a study of the behavior, limitations, and potential of theory-guided constructive induction.",1389,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  411-446",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9504101v1,https://arxiv.org/pdf/cs/9504101v1.pdf,http://arxiv.org/abs/cs/9504101v1,cs/9504101v1
Using Pivot Consistency to Decompose and Solve Functional CSPs,P. David,1,"Many studies have been carried out in order to increase the search efficiency of constraint satisfaction problems; among them, some make use of structural properties of the constraint network; others take into account semantic properties of the constraints, generally assuming that all the constraints possess the given property. In this paper, we propose a new decomposition method benefiting from both semantic properties of functional constraints (not bijective constraints) and structural properties of the network; furthermore, not all the constraints need to be functional. We show that under some conditions, the existence of solutions can be guaranteed. We first characterize a particular subset of the variables, which we name a root set. We then introduce pivot consistency, a new local consistency which is a weak form of path consistency and can be achieved in O(n^2d^2) complexity (instead of O(n^3d^3) for path consistency), and we present associated properties; in particular, we show that any consistent instantiation of the root set can be linearly extended to a solution, which leads to the presentation of the aforementioned new method for solving by decomposing functional CSPs.",1198,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  447-474",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9505101v1,https://arxiv.org/pdf/cs/9505101v1.pdf,http://arxiv.org/abs/cs/9505101v1,cs/9505101v1
Adaptive Load Balancing: A Study in Multi-Agent Learning,"A. Schaerf, Y. Shoham, M. Tennenholtz",3,"We study the process of multi-agent reinforcement learning in the context of load balancing in a distributed system, without use of either central coordination or explicit communication. We first define a precise framework in which to study adaptive load balancing, important features of which are its stochastic nature and the purely local information available to individual agents. Given this framework, we show illuminating results on the interplay between basic adaptive behavior parameters and their effect on system efficiency. We then investigate the properties of adaptive load balancing in heterogeneous populations, and address the issue of exploration vs. exploitation in that context. Finally, we show that naive use of communication may not improve, and might even harm system efficiency.",802,1995,"Journal of Artificial Intelligence Research, Vol 2, (1995),
  475-500",arXiv Artificial Intelligence,0,0,0,0,30.5,Artificial Intelligence,cs.AI,https://arxiv.org/abs/cs/9505102v1,https://arxiv.org/pdf/cs/9505102v1.pdf,http://arxiv.org/abs/cs/9505102v1,cs/9505102v1
